stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,0001,"Abramowskiego-Sienkiewicza",,51.754240,19.465450,1,,0,,,0
2,0081,"Brzeźna-Piotrkowska",,51.752860,19.460290,1,,0,,,0
3,0002,"Kochanówka",,51.804510,19.357840,1,,0,,,0
4,0003,"Aleksandrowska-Lechicka",,51.803560,19.363540,1,,0,,,0
5,0004,"Aleksandrowska-Szczecińska",,51.802880,19.366780,1,,0,,,0
6,0007,"Aleksandrowska-Szparagowa",,51.801140,19.375470,1,,0,,,0
7,0006,"Teofilów",,51.802410,19.368140,1,,0,,,0
8,0008,"Aleksandrowska-Kaczeńcowa",,51.799020,19.386070,1,,0,,,0
9,0010,"Aleksandrowska-Traktorowa",,51.797520,19.393630,1,,0,,,0
10,0009,"Aleksandrowska-Kaczeńcowa",,51.798670,19.388270,1,,0,,,0
11,0011,"Aleksandrowska-Traktorowa",,51.797220,19.395570,1,,0,,,0
12,0012,"Aleksandrowska-Bielicowa",,51.795840,19.402030,1,,0,,,0
13,0013,"Aleksandrowska-Bielicowa",,51.795660,19.403530,1,,0,,,0
14,0434,"Limanowskiego-Woronicza",,51.794050,19.410990,1,,0,,,0
17,9013,"Limanowskiego-zajezdnia LIMANOWSKIEGO",,51.791660,19.425340,1,,0,,,0
18,4289,"Limanowskiego-Woronicza",,51.794170,19.410800,1,,0,,,0
19,0014,"Aleksandrowska-Bielicowa",,51.795970,19.401870,1,,0,,,0
20,0016,"Aleksandrowska-Traktorowa",,51.797320,19.394940,1,,0,,,0
21,0015,"Aleksandrowska-Bielicowa",,51.796290,19.401440,1,,0,,,0
22,1213,"Traktorowa-Aleksandrowska",,51.797120,19.394190,1,,0,,,0
23,0017,"Aleksandrowska-Traktorowa",,51.797950,19.393340,1,,0,,,0
24,1209,"Traktorowa-Sierpowa",,51.798990,19.394690,1,,0,,,0
25,0018,"Aleksandrowska-Kaczeńcowa",,51.798790,19.387640,1,,0,,,0
26,0239,"Kaczeńcowa-Aleksandrowska",,51.799470,19.387390,1,,0,,,0
27,0019,"Aleksandrowska-Kaczeńcowa",,51.799460,19.385620,1,,0,,,0
28,0020,"Aleksandrowska-Szparagowa",,51.800910,19.376960,1,,0,,,0
30,0021,"Aleksandrowska-Szczecińska",,51.802600,19.368680,1,,0,,,0
31,0022,"Aleksandrowska-Lechicka",,51.803660,19.363260,1,,0,,,0
32,0023,"Kochanówka",,51.804650,19.357080,1,,0,,,0
33,0024,"Armii Krajowej-Napierskiego NŻ",,51.746820,19.397910,1,,0,,,0
34,0432,"Kusocińskiego-Armii Krajowej",,51.749950,19.391340,1,,0,,,0
35,0025,"Armii Krajowej-Napierskiego NŻ",,51.747200,19.397410,1,,0,,,0
36,0946,"Retkińska-Wyszyńskiego",,51.749020,19.407450,1,,0,,,0
38,0026,"Augustów-Bacewicz NŻ",,51.750460,19.547660,1,,0,,,0
39,0027,"Augustów-Wujaka NŻ",,51.753380,19.550950,1,,0,,,0
40,0028,"Augustów-Rokicińska NŻ",,51.756690,19.553300,1,,0,,,0
41,0972,"Rokicińska-Lermontowa",,51.758680,19.549990,1,,0,,,0
42,0029,"Augustów-Rokicińska NŻ",,51.756780,19.553260,1,,0,,,0
43,0030,"Augustów-Wujaka NŻ",,51.753230,19.550700,1,,0,,,0
44,0031,"Augustów-Bacewicz NŻ",,51.751730,19.548900,1,,0,,,0
45,0900,"Widzew Czajkowskiego",,51.751710,19.541900,1,,0,,,0
46,0032,"Pabianicka-Chocianowicka",,51.705830,19.421800,1,,0,,,0
47,2019,"Pabianicka-Długa",,51.702990,19.418170,1,,0,,,0
48,0034,"Grabińska-Nowosolna",,51.794580,19.589830,1,,0,,,0
49,0043,"Grabińska-Grabińska 10 NŻ",,51.800680,19.590450,1,,0,,,0
50,0035,"Grabińska-Nowosolna",,51.794520,19.589690,1,,0,,,0
51,1278,"Wiączyńska-Nowosolna",,51.792710,19.591070,1,,0,,,0
53,0230,"Józefów-Bieszczadzka NŻ",,51.706470,19.510850,1,,0,,,0
56,0039,"Borowa-Siewna NŻ",,51.779870,19.409420,1,,0,,,0
57,1051,"Siewna-Krakowska NŻ",,51.779360,19.400520,1,,0,,,0
58,0040,"Boya-Żeleńskiego-Sucharskiego",,51.790270,19.475630,1,,0,,,0
59,1335,"Wojska Polskiego-Sporna",,51.789230,19.479870,1,,0,,,0
60,0041,"Boya-Żeleńskiego-Sucharskiego",,51.790470,19.474490,1,,0,,,0
61,0645,"Obr. Westerplatte-Organizacji WiN",,51.789260,19.467810,1,,0,,,0
62,0042,"Bratysławska-Wróblewskiego",,51.749320,19.423030,1,,0,,,0
63,0044,"Bratysławska-Wileńska",,51.752000,19.425100,1,,0,,,0
64,0059,"Grabińska-Podwodna NŻ",,51.806250,19.591010,1,,0,,,0
65,1595,"Bandurskiego-Dw. Łódź Kaliska",,51.755750,19.432860,1,,0,,,0
66,0045,"Bratysławska-Wróblewskiego",,51.749770,19.423290,1,,0,,,0
67,1380,"Wyszyńskiego-Waltera-Janke",,51.747430,19.417490,1,,0,,,0
69,0046,"Grabińska-Grabińska 10 NŻ",,51.801130,19.590360,1,,0,,,0
70,0047,"Broniewskiego-Kilińskiego",,51.731040,19.476550,1,,0,,,0
71,0048,"Broniewskiego-Kraszewskiego",,51.732180,19.481840,1,,0,,,0
73,0049,"Broniewskiego-Śmigłego-Rydza",,51.732390,19.486530,1,,0,,,0
74,0050,"Broniewskiego-Tatrzańska",,51.732980,19.492610,1,,0,,,0
75,0170,"Felińskiego-Konspiracyjnego WP",,51.732340,19.495890,1,,0,,,0
76,1161,"Tatrzańska-Dąbrowskiego",,51.738190,19.494900,1,,0,,,0
77,0107,"Dąbrowskiego-Kossaka",,51.736570,19.498080,1,,0,,,0
78,0051,"Broniewskiego-Śmigłego-Rydza",,51.732950,19.490780,1,,0,,,0
79,0052,"Broniewskiego-Kraszewskiego",,51.732370,19.481650,1,,0,,,0
80,0053,"Broniewskiego-Kilińskiego",,51.731060,19.475860,1,,0,,,0
81,1025,"Rzgowska-Bankowa",,51.729160,19.476320,1,,0,,,0
83,0716,"Paderewskiego-Tuszyńska",,51.728560,19.469140,1,,0,,,0
85,0714,"Paderewskiego-Rzgowska",,51.730310,19.473790,1,,0,,,0
86,0054,"Brukowa-Zbąszyńska NŻ",,51.795880,19.409360,1,,0,,,0
87,0055,"Brukowa-Pojezierska",,51.800110,19.410860,1,,0,,,0
88,1775,"Pojezierska-Elektrociepłownia EC3 NŻ",,51.799520,19.420100,1,,0,,,0
89,0056,"Brukowa-św. Teresy NŻ",,51.805240,19.411730,1,,0,,,0
90,1189,"Św. Teresy-Włókniarzy NŻ",,51.804460,19.424210,1,,0,,,0
91,0057,"Brukowa-Pojezierska",,51.801840,19.411210,1,,0,,,0
92,0058,"Limanowskiego-Dw. Łódź Żabieniec",,51.795090,19.407460,1,,0,,,0
93,0061,"Grabińska 40",,51.814220,19.591900,1,,0,,,0
