route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"1",11399_11,11399_1,"KILIŃSKIEGO MOCHNACKIEGO",,1,1    /01,2445808,0,0
"1",11399_11,11399_10,"OGRODOWA NOWOMIEJSKA",,0,1    /01,2445809,0,0
"1",11399_11,11399_100,"OGRODOWA NOWOMIEJSKA",,0,1    /08,2445809,0,0
"15",11399_11,11399_1000,"STOKI",,0,15   /01,2445551,0,0
"G2",11399_11,11399_10000,"ŁSSE JANIKA",,0,G1   /01,2446047,0,0
"G2",11399_11,11399_10001,"RETKINIA",,1,G1   /01,2446046,0,0
"G2",11399_11,11399_10002,"ŁSSE JANIKA",,0,G1   /01,2446047,0,0
"G2",11399_11,11399_10003,"RETKINIA",,1,G1   /01,2446046,0,0
"G2",11399_11,11399_10004,"ŁSSE JANIKA",,0,G1   /01,2446047,0,0
"G2",11399_11,11399_10005,"RETKINIA",,1,G1   /01,2446045,0,0
"G2",11399_11,11399_10007,"G2 ZJAZD DO NOWE SADY",,1,G1   /01,2446044,0,0
"G2",11399_11,11399_10008,"ŁSSE JANIKA",,0,G1   /01,2446047,0,0
"G2",11399_11,11399_10009,"RETKINIA",,1,G1   /01,2446046,0,0
"15",11399_11,11399_1001,"CHOJNY KURCZAKI",,1,15   /01,2445548,0,0
"G2",11399_11,11399_10010,"ŁSSE JANIKA",,0,G1   /01,2446047,0,0
"G2",11399_11,11399_10011,"RETKINIA",,1,G1   /01,2446046,0,0
"G2",11399_11,11399_10013,"G2 ZJAZD DO NOWE SADY",,1,G1   /01,2446044,0,0
"G2",11399_11,11399_10014,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10015,"RETKINIA",,1,G1   /02,2446046,0,0
"G2",11399_11,11399_10016,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10017,"RETKINIA",,1,G1   /02,2446046,0,0
"G2",11399_11,11399_10018,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10019,"RETKINIA",,1,G1   /02,2446046,0,0
"15",11399_11,11399_1002,"STOKI",,0,15   /01,2445551,0,0
"G2",11399_11,11399_10020,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10021,"RETKINIA",,1,G1   /02,2446046,0,0
"G2",11399_11,11399_10022,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10023,"RETKINIA",,1,G1   /02,2446046,0,0
"G2",11399_11,11399_10024,"ŁSSE JANIKA",,0,G1   /02,2446047,0,0
"G2",11399_11,11399_10025,"RETKINIA",,1,G1   /02,2446046,0,0
"G2",11399_11,11399_10027,"G2 ZJAZD DO NOWE SADY",,1,G1   /02,2446044,0,0
"G2",11399_11,11399_10028,"ŁSSE JANIKA",,0,G1   /03,2446047,0,0
"G2",11399_11,11399_10029,"RETKINIA",,1,G1   /03,2446045,0,0
"15",11399_11,11399_1003,"CHOJNY KURCZAKI",,1,15   /01,2445548,0,0
"G2",11399_11,11399_10030,"ŁSSE JANIKA",,0,G1   /03,2446047,0,0
"G2",11399_11,11399_10031,"RETKINIA",,1,G1   /03,2446046,0,0
"G2",11399_11,11399_10032,"ŁSSE JANIKA",,0,G1   /03,2446047,0,0
"G2",11399_11,11399_10033,"RETKINIA",,1,G1   /03,2446046,0,0
"G2",11399_11,11399_10035,"G2 ZJAZD DO NOWE SADY",,1,G1   /03,2446044,0,0
"G2",11399_11,11399_10036,"ŁSSE JANIKA",,0,G1   /04,2446047,0,0
"G2",11399_11,11399_10037,"RETKINIA",,1,G1   /04,2446045,0,0
"G2",11399_11,11399_10038,"ŁSSE JANIKA",,0,G1   /04,2446047,0,0
"G2",11399_11,11399_10039,"RETKINIA",,1,G1   /04,2446046,0,0
"15",11399_11,11399_1004,"STOKI",,0,15   /01,2445551,0,0
"G2",11399_11,11399_10040,"ŁSSE JANIKA",,0,G1   /04,2446047,0,0
